212 57 10 101 7 0 7
212 57 10 110 5 0 5
212 57 10 112 13 0 13
212 57 10 113 6 0 6
212 57 10 115 5 0 5
212 57 10 126 6 0 6
212 57 10 130 6 0 6
212 57 10 133 10 0 10
212 57 10 204 20 0 20
212 57 10 205 11 0 11
212 57 10 210 11 0 11
212 57 10 211 11 0 11
212 57 10 218 12 0 12
212 57 10 219 18 0 18
212 57 10 313 0 10 10
212 57 10 314 24 0 24
212 57 10 315 13 0 13
212 57 10 316 0 5 5
212 57 10 323 11 0 11
212 57 10 328 0 14 14
212 57 10 407 14 0 14
212 57 10 408 7 8 15
212 57 10 409 16 0 16
212 57 10 412 11 18 29
212 57 10 417 16 0 16
212 57 10 418 0 13 13
212 57 10 422 11 0 11
212 57 10 502 35 0 35
212 57 10 504 10 0 10
212 57 10 506 16 0 16
212 57 10 507 11 0 11
212 57 10 510 11 0 11
212 57 10 511 7 8 15
212 57 10 512 21 0 21
212 57 10 515 0 10 10
212 57 10 516 18 0 18
212 57 10 517 0 12 12
212 57 10 520 14 0 14
212 57 10 529 0 6 6
